director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
David Fincher,149,167735396,Crime|Drama|Mystery|Thriller,Gone Girl,2014,English,USA,61000000,8.1,"Patrick Fugit,Sela Ward,Emily Ratajkowski",146000
Bryan Singer,149,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,2014,English,United States,200000000,8,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",82000
Jay Oliva,148,,Action|Animation|Crime|Sci-Fi|Thriller,"Batman: The Dark Knight Returns, Part 2",2013,English,USA,3500000,8.4,"Michael Emerson,Mark Valley,Grey Griffin",5000
Christopher Nolan,148,292568851,Action|Adventure|Sci-Fi|Thriller,Inception,2010,English,USA,160000000,8.8,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",175000
Paul Thomas Anderson,148,8093318,Comedy|Crime|Drama|Mystery|Romance,Inherent Vice,2014,English,USA,20000000,6.7,"Martin Dew,Katherine Waterston,Serena Scott Thomas",18000
Sam Mendes,148,200074175,Action|Adventure|Thriller,Spectre,2015,English,UK,245000000,6.8,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",85000
Michael Patrick King,146,95328937,Comedy|Drama|Romance,Sex and the City 2,2010,English,USA,100000000,4.3,"Chris Noth,Liza Minnelli,Kristin Davis",0
Tate Taylor,146,169705587,Drama,The Help,2011,English,USA,25000000,8.1,"Emma Stone,Bryce Dallas Howard,Mike Vogel",75000
Francis Lawrence,146,424645577,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire,2013,English,USA,130000000,7.6,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",82000
Steven Spielberg,146,79883359,Drama|War,War Horse,2011,English,usa,66000000,7.2,"Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan",28000
Michael Bay,144,52822418,Action|Drama|Thriller|War,13 Hours,2016,English,USA,50000000,7.4,"Toby Stephens,James Badge Dale,David Costabile",44000
Guillaume Canet,144,41229,Crime|Drama|Thriller,Blood Ties,2013,English,France,25500000,6.5,"Mila Kunis,Lili Taylor,Billy Crudup",0
Paul Thomas Anderson,144,16377274,Drama,The Master,2012,English,USA,32000000,7.1,"Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild",27000
Bryan Singer,144,154985087,Action|Adventure|Sci-Fi,X-Men: Apocalypse,2016,English,USA,178000000,7.3,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",54000
Adam McKay,143,2175312,Comedy,Anchorman 2: The Legend Continues,2013,English,USA,50000000,6.3,"Harrison Ford,Will Ferrell,Steve Carell",41000
Zack Snyder,143,291021565,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,2013,English,USA,225000000,7.2,"Henry Cavill,Christopher Meloni,Harry Lennix",118000
Sam Mendes,143,304360277,Action|Adventure|Thriller,Skyfall,2012,English,UK,200000000,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
Sam Mendes,143,304360277,Action|Adventure|Thriller,Skyfall,2012,English,UK,200000000,7.8,"Albert Finney,Helen McCrory,Rory Kinnear",80000
Baz Luhrmann,143,144812796,Drama|Romance,The Great Gatsby,2013,English,Australia,105000000,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
Baz Luhrmann,143,144812796,Drama|Romance,The Great Gatsby,2013,English,Australia,105000000,7.3,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
Steven Spielberg,142,72306065,Drama|History|Thriller,Bridge of Spies,2015,English,USA,40000000,7.6,"Tom Hanks,Mark Rylance,Amy Ryan",55000
Marc Webb,142,202853933,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,2014,English,USA,200000000,6.7,"Emma Stone,Andrew Garfield,B.J. Novak",41000
Joss Whedon,141,458991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,2015,English,USA,250000000,7.5,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",118000
Timur Bekmambetov,141,,Adventure|Drama|History,Ben-Hur,2016,English,USA,100000000,6.1,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Timur Bekmambetov,141,,Adventure|Drama|History,Ben-Hur,2016,English,USA,100000000,6,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Timur Bekmambetov,141,,Adventure|Drama|History,Ben-Hur,2016,English,USA,100000000,6.1,"Morgan Freeman,Ayelet Zurer,Moises Arias",0
Justin Chadwick,141,8324748,Biography|Drama|History,Mandela: Long Walk to Freedom,2013,English,UK,35000000,7.1,"Terry Pheto,Fana Mokoena,Tony Kgoroge",13000
Oliver Stone,141,47307550,Crime|Drama|Thriller,Savages,2012,English,USA,45000000,6.5,"Demián Bichir,Shea Whigham,Gary Stretch",28000
David Dobkin,141,47105085,Crime|Drama,The Judge,2014,English,USA,50000000,7.4,"Robert Downey Jr.,Robert Duvall,Leighton Meester",47000
Ryan Murphy,140,80574010,Drama|Romance,Eat Pray Love,2010,English,USA,60000000,5.7,"James Franco,Julia Roberts,Billy Crudup",26000
James Wan,140,350034110,Action|Crime|Thriller,Furious 7,2015,English,USA,190000000,7.2,"Jason Statham,Paul Walker,Vin Diesel",94000
Derek Cianfrance,140,21383298,Crime|Drama|Thriller,The Place Beyond the Pines,2012,English,USA,15000000,7.3,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",47000
